"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:97329484",11.8006028761271,10.0965103062637,2.00141323399037,5.04469048909683,4.54256081741708e-07,1.89820174310895e-05
"GeneID:97329224",17.3725581164616,8.4017137312577,1.66917347296632,5.03345749697715,4.8171165727058e-07,1.96107350999365e-05
"GeneID:97328614",10.2997400002535,9.26438651316281,1.83999157978804,5.03501571144692,4.77809641945884e-07,1.96107350999365e-05
"GeneID:97328345",61.6289274590852,9.0759203287752,1.80683962184437,5.02309126889235,5.08463664797027e-07,1.96601267652213e-05
"GeneID:97328655",67.6044853123565,8.66885764072752,1.72434516019305,5.02733318180741,4.9734780654184e-07,1.96601267652213e-05
"GeneID:97328822",24.6266213903868,8.251105809531,1.6425924126176,5.0232216745615,5.08118397505057e-07,1.96601267652213e-05
"GeneID:97329155",18.8883072079288,7.88842049809016,1.57086555513162,5.02170314469032,5.1215296812291e-07,1.96601267652213e-05
"GeneID:97329460",34.9043494776411,8.6042910048462,1.71043154174173,5.03047961573747,4.89254404500325e-07,1.96601267652213e-05
"GeneID:97329886",45.2871212414193,8.66637154167387,1.72583809456684,5.02154377572076,5.12578181122987e-07,1.96601267652213e-05
"GeneID:97328926",28.3449973018615,9.24113324039131,1.83819498532708,5.02728672102594,4.97468277062514e-07,1.96601267652213e-05
"GeneID:97328426",68.0102624952053,7.8227969067132,1.57147065756508,4.97801016458957,6.42412833680296e-07,1.99206727599967e-05
"GeneID:97328746",33.6310923224244,7.38167556863648,1.4830053653403,4.97751103344299,6.44071116734846e-07,1.99206727599967e-05
"GeneID:97328808",53.6064442455125,7.41229930094563,1.48197455568574,5.0016373577452,5.68454437253847e-07,1.99206727599967e-05
"GeneID:97329382",48.6603968885525,7.13535104245261,1.42878209900994,4.99400926663134,5.91385582521572e-07,1.99206727599967e-05
"GeneID:97329418",30.0682584966778,7.14831373119912,1.4356049243995,4.97930427076878,6.38132515845358e-07,1.99206727599967e-05
"GeneID:97329923",68.0072248889126,7.29988496213734,1.46132932489129,4.99537293736332,5.87221768068183e-07,1.99206727599967e-05
"GeneID:97329932",128.442821116727,7.15864207919541,1.44037680218669,4.96997873634706,6.69602445714174e-07,1.99206727599967e-05
"GeneID:82188694",48.8630325060415,7.09039755082123,1.42660776713452,4.97011001493631,6.69149229015288e-07,1.99206727599967e-05
"GeneID:97328723",57.2403841601124,8.09218423405116,1.62225773234968,4.9882235557789,6.09370298272668e-07,1.99206727599967e-05
"GeneID:97328964",38.4893347103847,8.75448408719009,1.75468802036147,4.98919693164979,6.06308139250159e-07,1.99206727599967e-05
"GeneID:97328999",72.5756814398421,9.23684761780094,1.85703091391785,4.97398699643271,6.55897105879503e-07,1.99206727599967e-05
"GeneID:97329107",53.3406353460899,7.4197351143136,1.48845496994392,4.98485695848303,6.20076692320683e-07,1.99206727599967e-05
"GeneID:97329241",25.0193513191417,8.54360828111929,1.70836910017575,5.00103184975679,5.70242903022471e-07,1.99206727599967e-05
"GeneID:97329302",50.2389682904979,9.0065860205625,1.79912619992237,5.00608907866002,5.55470587668036e-07,1.99206727599967e-05
"GeneID:97329331",18.7575979592933,8.67791228309782,1.74246585996339,4.9802480969585,6.3502811287413e-07,1.99206727599967e-05
"GeneID:97329476",55.9542124150794,8.83189398953121,1.76150579382099,5.01383192749732,5.33565980871879e-07,1.99206727599967e-05
"GeneID:97329616",45.0205994575534,8.31693414078028,1.67051597374481,4.97866184549924,6.40253921018945e-07,1.99206727599967e-05
"GeneID:97329638",61.4980744960866,8.04319141536466,1.60331891230733,5.01658862352579,5.25970202081847e-07,1.99206727599967e-05
"GeneID:97329878",42.7968169736301,8.77573729414777,1.76560556422864,4.97038380029217,6.68204983185999e-07,1.99206727599967e-05
"GeneID:97329901",25.1990153947039,8.30077450316417,1.66270247747973,4.99233904778096,5.96524192295593e-07,1.99206727599967e-05
"GeneID:97329957",37.819936879329,8.77533069165199,1.7509675870486,5.01170367547667,5.39502388881681e-07,1.99206727599967e-05
"GeneID:97330223",19.906321888417,8.00825348211846,1.60244748205293,4.99751384791651,5.80741695398376e-07,1.99206727599967e-05
"GeneID:97330286",51.6074511126598,9.1775551617351,1.84122434270956,4.98448502382353,6.21270573877156e-07,1.99206727599967e-05
"GeneID:97330326",23.9086722188357,8.32566673699542,1.6701183442006,4.98507591746769,6.19374885286129e-07,1.99206727599967e-05
"GeneID:97330367",88.7182545047067,8.89180015254813,1.7830181437472,4.98693756074802,6.13438795500442e-07,1.99206727599967e-05
"GeneID:97330390",238.381601030533,7.70677674097114,1.5368507890452,5.01465516099917,5.31286642237244e-07,1.99206727599967e-05
"GeneID:97330405",18.7829089984918,8.31739398118333,1.67271402193151,4.97239448712166,6.61309651875307e-07,1.99206727599967e-05
"GeneID:82186151",53.6789120780018,7.22033878685268,1.45275261113178,4.97010897211716,6.69152828003607e-07,1.99206727599967e-05
"GeneID:97327936",30.8551618335558,9.21312733692692,1.8425563078325,5.00018767283417,5.7274537176931e-07,1.99206727599967e-05
"GeneID:97328675",47.4647094475536,9.10056297003227,1.82124498754115,4.99689115538426,5.82619307407743e-07,1.99206727599967e-05
"GeneID:97330169",12.8326994968858,9.30985017760627,1.85926073154758,5.00728597105211,5.52028806287202e-07,1.99206727599967e-05
"GeneID:82188039",16.2563127053519,10.3370843004292,2.07158471749717,4.98994041282472,6.03979206407395e-07,1.99206727599967e-05
"GeneID:97328998",11.762127743664,9.56903953298381,1.92122415984151,4.98069914640943,6.33549680439328e-07,1.99206727599967e-05
"GeneID:97329131",25.5068050537738,9.08515648330152,1.81777721312087,4.99794827315695,5.79435223744863e-07,1.99206727599967e-05
"GeneID:97330500",11.5000678884725,10.0923819729154,2.01650344135676,5.00489201552015,5.58933548679205e-07,1.99206727599967e-05
"GeneID:97327865",30.182705156699,8.63031028368673,1.73771732520631,4.96646385375832,6.81847548691244e-07,2.01557609775545e-05
"GeneID:97329580",84.4650013351509,7.11275647114157,1.43352297099015,4.96173177206132,6.98674349923796e-07,2.04409895270266e-05
"GeneID:97328429",41.5823870595482,8.78222792859826,1.77102083048747,4.95885072463038,7.09114267151751e-07,2.04409895270266e-05
"GeneID:97329432",60.8381204129296,7.96791234227688,1.60655874548252,4.95961468242716,7.06331397778522e-07,2.04409895270266e-05
"GeneID:97329933",18.8449712868746,9.3669981175621,1.88887959029251,4.95902341562786,7.08484283003475e-07,2.04409895270266e-05
"GeneID:97330368",23.8903970736325,9.52483541530944,1.92195362720728,4.95580917274765,7.2029884727965e-07,2.06352280878077e-05
"GeneID:97328936",53.4340826381268,9.13661841629893,1.84494437026837,4.9522460208217,7.33617725848165e-07,2.07604869857398e-05
"GeneID:97329936",50.8249024229032,8.83989383278287,1.78465276592184,4.95328503201389,7.2970964442865e-07,2.07604869857398e-05
"GeneID:97330291",56.5378786725532,7.24315881487849,1.46363548296952,4.94874502508173,7.469351820957e-07,2.10092495764009e-05
"GeneID:97328710",66.9088391295728,8.20277141713705,1.66612496197837,4.92326302307903,8.51129309572116e-07,2.10744344525072e-05
"GeneID:97329885",82.5318070288889,7.19380893251938,1.45783613333822,4.93457993529536,8.03234444530316e-07,2.10744344525072e-05
"GeneID:97327898",99.0668408760096,9.06064032260375,1.84077364216502,4.9221914715962,8.55804201863644e-07,2.10744344525072e-05
"GeneID:97327944",42.818412922029,8.28764074081132,1.68341689834913,4.92310653940727,8.51810469216177e-07,2.10744344525072e-05
"GeneID:97328450",45.7874172512905,9.15373346199356,1.85505418762455,4.93448305880228,8.03633202869337e-07,2.10744344525072e-05
"GeneID:97328637",30.195365647919,8.16289651559591,1.65625315332365,4.92853190903528,8.28498049509989e-07,2.10744344525072e-05
"GeneID:97328653",16.6246026522349,8.92605919301675,1.81492304653492,4.9181474719044,8.73670844405359e-07,2.10744344525072e-05
"GeneID:97328716",37.147813079159,8.02389941786159,1.62780840936176,4.92926524504664,8.25394495655784e-07,2.10744344525072e-05
"GeneID:97328924",27.6232385981119,8.65255749649254,1.76061239894426,4.91451582510779,8.90021364510107e-07,2.10744344525072e-05
"GeneID:97329024",70.9590438244668,7.83093801346137,1.58502821679678,4.94056694415644,7.7895742223583e-07,2.10744344525072e-05
"GeneID:97329103",49.3644917947424,8.44315368825175,1.7141003161674,4.92570569447769,8.40564335872943e-07,2.10744344525072e-05
"GeneID:97329226",45.4109447036444,8.88492886434136,1.80610529195646,4.91938587628896,8.68161687197021e-07,2.10744344525072e-05
"GeneID:97329449",34.0143865333176,9.49078214590617,1.91906378986934,4.94552718674993,7.59380709531574e-07,2.10744344525072e-05
"GeneID:97329469",44.7763660574247,9.10287615067899,1.85186869942098,4.91550840160814,8.85523526101388e-07,2.10744344525072e-05
"GeneID:97329481",33.6125123854666,9.0298613868742,1.83575825063014,4.91887283294225,8.70439937449318e-07,2.10744344525072e-05
"GeneID:97329536",44.4434682776645,8.19641095505468,1.65940690119863,4.93936173769931,7.8378694503235e-07,2.10744344525072e-05
"GeneID:97329559",74.9895407942897,8.9282017689333,1.81598520436047,4.91645072189754,8.81273681217105e-07,2.10744344525072e-05
"GeneID:97329645",54.2548630883142,8.41338414439312,1.70891180707238,4.92324069011292,8.51226490907624e-07,2.10744344525072e-05
