"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:97328250",50.3432894288106,7.10687717440406,1.7586323482208,4.04113866186644,5.31922932423176e-05,0.000149343879575073
"GeneID:97328257",31.7595047555467,4.55775730803698,1.71383449551624,2.65939174404592,0.00782818827358683,0.0142584857840331
"GeneID:97328264",54.7562167178863,6.29045598732583,1.54257038461604,4.07790532611033,4.54432625578425e-05,0.000132476244680243
"GeneID:97328266",17.1715492062637,7.62624407770054,1.70546421820103,4.47165293549513,7.76173219339008e-06,4.21950018170571e-05
"GeneID:97328269",56.8624399531461,7.47814703043726,1.63247417332602,4.58086697641361,4.63052315885802e-06,3.2809554168336e-05
"GeneID:97328276",27.5610228831854,6.77896102432836,1.65420639823446,4.0980140274899,4.1671003339486e-05,0.000123362247644806
"GeneID:97328278",25.2594373640672,7.2295588881149,1.6314170629943,4.4314596506952,9.35973291386337e-06,4.67489663072661e-05
"GeneID:97328280",63.0034009120319,7.88446807632683,1.70938528800126,4.6124581343191,3.97934712462621e-06,3.12424004763327e-05
"GeneID:97328284",210.359852640618,6.13509725616848,1.45188736559496,4.22560138034843,2.38303507716926e-05,8.23504526667353e-05
"GeneID:97328285",51.3423242883097,5.84552812318905,1.51182580617259,3.86653548267435,0.000110392408822996,0.000270645097383795
"GeneID:97328314",113.337441263573,4.12529947329295,1.73167570552049,2.38225867588355,0.0172068058102477,0.0298307006968097
"GeneID:97328315",529.377042964207,4.09979372994789,1.53271183573266,2.67486270697984,0.00747598588271288,0.013689734885382
"GeneID:97328316",299.620066230035,4.69801297375326,1.47284561844105,3.1897524865681,0.00142394692198921,0.00283506549332986
"GeneID:97328317",96.7370049734889,5.90320651534253,1.33297520818762,4.42859437976258,9.48492118968865e-06,4.69291249907729e-05
"GeneID:97328323",92.2510051435988,7.93945598596135,1.6618962761448,4.77734747945821,1.77622682398919e-06,2.48834565391591e-05
"GeneID:97328333",62.2309460374654,7.96856243797228,1.76213339146608,4.5221107985148,6.12259945531042e-06,3.79372284006618e-05
"GeneID:97328360",4.51417469547313,6.59424746318935,2.82244440832676,2.33636044123138,0.0194724638617324,0.0333721214114846
"GeneID:97328361",11.8561513823044,7.1139976532569,2.02927962367695,3.5056763840001,0.000455448614286653,0.000969159568502685
"GeneID:97328373",22.7740058024958,8.66654597804114,2.00591058262943,4.32050463918521,1.55672783245295e-05,6.26606580261416e-05
"GeneID:97328385",52.3295883593795,7.33196657291841,2.11653221260041,3.46414126336884,0.000531927095914116,0.00112110520078902
"GeneID:97328386",3.50180493447232,7.23734243997216,2.43299777088163,2.97466053055593,0.00293312940688228,0.00561115151580407
"GeneID:97328389",24.5687304041747,8.32091967366458,2.07932011483448,4.00175019435472,6.28756620574327e-05,0.000171046862607588
